id;category;question;answer
11;nos produits;Quels accessoires sont inclus avec mon smartphone et sont-ils d'origine ?;"Tous nos smartphones sont vendus avec l'accessoire adapté, à savoir : un câble et un extracteur de carte SIM. Ces produits sont neufs, pleinement compatibles et aux normes CE. Afin de lutter contre les déchets électroniques, les écouteurs ainsi que la prise murale ne sont plus fournis. 

Si vous souhaitez plus d'accessoires, Certideal vous permet d'acheter en extra la prise murale, des écouteurs, une coque et une vitre en verre trempé que notre équipe posera directement sur votre smartphone avant son expédition. "
12;nos produits;Comment configurer ma eSIM sur mon iPhone ?;"Afin de configurer votre eSIM sur votre téléphone, nous vous invitons à suivre la procédure ci-dessous.
 
1.    Accédez aux réglages de l’appareil.
2.    Activez le Wi-Fi du téléphone.
3.    Accédez ensuite aux données cellulaires du téléphone.
4.    Cliquez sur « Ajouter une carte eSIM »
5.    Cliquez sur « Utiliser un code QR »
6.    Scannez le code QR
7.    Une fois le code QR scanné, vous n’avez plus qu’à patienter durant l’activation de la eSIM.
Votre carte eSIM est à présent configurée sur votre appareil et prête à être utilisée !"
13;nos produits;Qu'est ce qu'une eSim ?;"Une eSIM (ou SIM intégrée) est une carte SIM électronique qui est directement intégrée dans un appareil électronique (smartphone, montre connectée ou tablette).
Contrairement aux cartes SIM traditionnelles, qui sont physiques et peuvent être retirées et remplacées, l'eSIM est un composant matériel intégré qui peut être programmé avec les informations de l'opérateur de téléphonie mobile.
 
L'eSIM fonctionne de manière similaire à une carte SIM traditionnelle en permettant à un appareil de se connecter au réseau mobile d'un opérateur de téléphonie. Cependant, au lieu d'insérer une carte SIM physique, l'utilisateur peut activer et configurer une eSIM directement sur l'appareil. Cela peut être fait en scannant un code QR fourni par l'opérateur ou en téléchargeant les informations de la carte SIM sur l'appareil.
 
L'avantage principal de l'eSIM est sa flexibilité. Il n'est pas nécessaire de changer physiquement de carte SIM lorsqu'on change d'opérateur ou de pays. Elle peut simplement être configurée avec les informations de l'opérateur souhaité. Cela facilite également l'utilisation de plusieurs comptes ou numéros de téléphone sur un même appareil.
 
Tous les appareils ne prennent pas en charge l'eSIM : cela dépend du matériel et du logiciel de l'appareil. 
 
Existe-t-il des modèles qui ne fonctionnent qu'avec une eSim ? 
 
Pour savoir si votre appareil prend en charge la eSIM, nous vous invitons à vous rendre dans les réglages de votre téléphone, puis à taper « eSIM » dans la barre de recherche. Si vous pouvez ajouter une carte SIM sur votre appareil, ce dernier est compatible eSIM.
 
A partir de l'iPhone 14, les modèles A2632 proposent uniquement le paramétrage avec la eSim. Les nano-sim ne sont pas acceptées.
 
Pour savoir comment configurer une e-sim, consultez cette article : 
Comment configurer ma e-sim ?"
14;passer commande;Satisfait ou remboursé ?;"Chez Certideal, vous disposez de 21 jours pour tester votre appareil !

Si vous changez d'avis, que vous souhaitez vous rétracter, vous pouvez demander un retour soit par mail à hello@certideal.com, soit par rendez-vous téléphonique via certideal.com/rdv (pas d'attente inutile pour joindre un conseiller ;)), soit sur le chat en ligne.
 
Certideal vous envoie un bon prépayé Colissimo, ainsi que la procédure à suivre pour renvoyer l'appareil. Il est nécessaire de renvoyer l'appareil dans l'état d'origine :) 
Certideal prend en charge le retour si l'appareil n'est pas conforme. Vous devez retourner le produit au plus tard dans les 14 jours suivant l'envoi de votre rétractation.

Une fois l'appareil reçu chez nous, il faut compter 5 à 10 jours pour voir les fonds apparaître sur votre compte. 
C'est l'intégralité de votre commande qui sera remboursée, frais de port et options supplémentaires si vous les aviez commandés.

Bien sûr, si vous souhaitez demander un échange ou un diagnostic, si vous estimez que l'appareil n'est pas conforme, vous bénéficiez de la garantie 24 mois. L'appareil sera alors réparé ou échangé selon le cas."
15;passer commande;Quels moyens de paiement sont acceptés sur Certideal ?;"Sur Certideal, vous pouvez payer vos achats par carte bancaire de manière totalement sécurisée par le système 3D Secure (code envoyé par SMS nécessaire pour valider le payement). 
Le paiement en 3 ou 4 fois est également disponible avec notre partenaire Cetelem. Lorsque vous êtes sur la page de paiement, il vous suffit de choisir le paiement en 3 ou 4 fois et de suivre les instructions. L'appareil est envoyé juste après le premier paiement. Ensuite vous êtes prélevé tous les mois"
16;passer commande;Peut-on payer en plusieurs fois ?;Vous avez la possibilité de payer votre commande en 3 ou 4 fois sur le site. Il vous suffit pour cela de sélectionner cette option une fois sur la page de paiement et de suivre les instructions. Le téléphone sera envoyé juste après le premier paiement puis vous serez prélevé les mois suivants du montant de vos échéances
17;passer commande;Questions sur le paiement en cas de message d'erreur ?;"Vous avez renseigné vos informations bancaires et cliqué sur « confirmer », et un message d’erreur s’affiche. Dans ce cas, la commande n’a pas été passée et aucun prélèvement n’a été fait sur votre compte. Il existe 2 raisons principales pour les échecs de paiement. 
 
La sécurité bancaire : Certideal possède un système de sécurité nommé « le 3D Secure ». Il vous permet d’utiliser votre carte bancaire en toute confiance sur un grand nombre de sites internet. Lors du renseignement de vos données bancaires, vous êtes redirigé vers une page de sécurité de votre banque qui vous demande un code de vérification envoyé instantanément sur votre téléphone portable. Le paiement est validé suite à cette confirmation. 
 
Au cas où vous avez perdu votre téléphone, ou changé de numéro, nous avons une astuce magique: contactez votre banque, ils pourront trouver un autre moyen de valider le paiement avec vous. Si non, contactez nous via certideal.com/rdv ou hello@certideal.com :) 
 
Erreur du côté de votre banque : L’échec de paiement peut aussi être une conséquence d’une décision de votre banque. Plafond de dépense atteint, manque de fonds sur le compte, carte bancaire étrangère ou expirée, les raisons peuvent varier. Dans ce cas, il faut contacter votre banque ou votre conseiller pour lui expliquer la situation. Ils sauront vous donner une réponse juste, qui vous permettra de repasser commande sans aucun problème !"
18;passer commande;Puis-je obtenir une facture ?;"Une facture est envoyée automatiquement par mail à chaque client le jour de l'expédition de la commande. Si après réception, ce document ne vous est toujours pas parvenu, vous pouvez le télécharger depuis votre espace CertiDeal directement, dans votre historique de commande. 
 
Si vous avez fait une erreur sur le nom, ou l'adresse, et que vous souhaitez la corriger, adressez nous un mail à hello@certideal.com "
19;passer commande;L’étanchéité d'un produit reconditionné est-elle conservée ?;"En tant que produit reconditionné, l'étanchéité n'est pas garantie.
Durant le reconditionnement les appareils sont parfois ouverts afin que des tests soient effectués. Dans ce cas l'étanchéité n'est pas garantie sur les produits reconditionnés vendus sur Certideal. De manière générale, l'étanchéité des produits diminue largement durant la vie des produits
 
Voir l'étude de iFixit sur ce sujet (https://fr.ifixit.com/News/30845/your-phone-is-never-waterproof-no-matter-what-the-maker-says)"
20;passer commande;Y a-t-il des frais de livraison ?;"Chez CertiDeal, vous avez deux modes de livraisons : 
La livraison en point relais qui s'élève à 3,90 €.
La livraison à domicile qui coûte 5,90 €. "
21;passer commande;Quels sont vos transporteurs partenaires ?;"Notre partenaire pour les expéditions en France métropolitaine est Chronopost.
La livraison se fait le matin avant 13h.
Pour les expéditions parisiennes, nous pouvons livrer gratuitement par coursier sur demande. "
22;passer commande;Peut-on se faire livrer en point relais ?;"Vous pouvez vous faire livrer en point relais ! Au moment de renseigner votre adresse de livraison, vous avez le choix d'être livré à votre domicile ou en point relais. 
Vous renseignez votre adresse et notre site vous propose plusieurs points relais à proximité. La livraison en point relais est vivement recommandée par CertiDeal. Elle vous permet de récupérer votre produit selon vos disponibilités. "
23;passer commande;Quels sont les délais de livraison ?;Le délai d'expédition figure sur chaque fiche produit. Il est de 2 ou 6 jours ouvrés selon les produits. Le délai renseigné correspond au délai maximal pour lequel nous nous engageons à livrer votre produit. Dans une vaste majorité des cas, votre produit sera expédié avant l'échéance de ce délai. Après expédition, notre transporteur Chronopost s'engage à vous livrer en 24 heures en France métropolitaine. 
24;passer commande;Comment savoir où en est ma commande ?;"Vous pouvez à tout moment suivre l’avancée de votre commande dans votre espace personnel dans la rubrique « mes achats ». Vous y trouverez votre référence commande composée de 9 lettres en majuscule et le statut d’avancement de votre commande. 
Il existe plusieurs types de statuts :

Commande validée : Votre commande a bien été prise en compte par nos équipes. Elle est en cours de préparation et n’est pas encore partie.
Achat en cours d’expédition : Votre smartphone est en cours d’embarquement vers chez vous ! On le fait tout beau et on l’équipe pour le voyage. Décollage imminent …
Commande traitée : Votre téléphone a été pris en charge par notre transporteur et est en cours de livraison. Encore un peu de patience, il arrive bientôt !"
25;passer commande;Puis-je modifier mon adresse de livraison ?;"Dès 24 heures après la commande, modifier l'adresse de livraison devient complexe et dépend de l'état d'avancement de la commande. En cas d'extrême impossibilité de réceptionner le colis à l'adresse originellement communiquée, nous vous invitons à nous contacter par mail à hello@certideal.com. 

Communiquez la nouvelle adresse souhaitée directement dès le premier échange.
 
Notre équipe fera son maximum pour modifier l'adresse avant envoi ou bloquer puis rediriger le colis si celui-ci a déjà été expédié."
26;passer commande;Comment suivre la livraison de ma commande ?;Lors de son expédition par nos soins, vous avez reçu un mail de confirmation avec le numéro de suivi du transporteur. Grâce à numéro de suivi, vous pouvez suivre en temps réel le trajet de votre commande sur le site de Chronopost.
27;passer commande;"Questions sur le suivi de ma commande : statut ""en cours d'acheminement""";Votre commande est déjà partie de chez nous et a été prise en charge par le transporteur mais le suivi vous indique que sa position n’a pas bougé depuis un moment. Dans ce cas, contactez-nous via votre espace Certideal avec pour objet [livraison-statut non mis à jour]. Nous contacterons Chronopost pour connaître plus de détails sur sa position et débloquer la situation. 
28;passer commande;Que se passe-t-il si je ne suis pas à mon domicile ?;"Si vous êtes absent sur les horaires habituels de passage de Chronopost, le transporteur livrera votre colis au point relais le plus proche. Vous aurez 7 jours pour récupérer votre colis. 

 Si vous savez à l'avance que vous serez absent, nous vous conseillons vivement de choisir la livraison en point relais. En renseignant votre adresse, notre site vous proposera les points relais les plus proches de votre domicile. Vous pourrez récupérer votre colis à ce point relais selon vos disponibilités."
29;passer commande;"Questions sur le suivi de ma commande: statut ""livré""";"Dans ce type de cas, il est difficile de définir ce qui s’est passé lors de la livraison. Une chose est sûre, vous n’avez toujours pas votre colis alors que le suivi le note livré. Dans ce cas, nous devons lancer une enquête auprès de notre transporteur. Merci de nous informer par mail à l’adresse hello@certideal.com avec pour objet [enquête transporteur – documents justificatifs],  nous vous enverrons ainsi un modèle de lettre de dénégation que vous devrez remplir et nous renvoyer avec votre pièce d'identité recto verso. 

L’enquête peut prendre jusqu’à 30 jours au terme desquels nous vous renverrons un produit, ou lancerons un remboursement en fonction de votre volonté. Nous relancerons le transporteur régulièrement pour obtenir une réponse au plus vite, nous vous accompagnerons à chaque étape et serons disponible pour des informations complémentaires. "
30;Service Après-Vente;Questions sur l'allumage de mon smartphone;"Avant d'enclencher la procédure de retour

Nous proposons une procédure à réaliser chez vous qui pourrait régler le problème directement. En effet, certains dysfonctionnements peuvent apparaître sans réel problème matériel. 
 
Avant d'enclencher la procédure de retour, il est nécessaire que vous suiviez les trois procédures suivantes : 
 
Vérifiez si le problème ne vient pas du chargeur en essayant de charger votre smartphone avec un autre chargeur. 
Vérifiez qu'il n'y ait pas de poussière logée dans le connecteur de charge qui empêche le contact avec le chargeur, nous vous invitons à regarder cette vidéo
Tentez le redémarrage forcé. La procédure varie selon le modèle. Jusqu'à l'iPhone 6S, appuyez sur home et power en même temps. Pour les modèles 7  et 8, appuyez simultanément sur le bouton power et sur le bouton de diminution du volume. A partir de l'iPhone X appuyez et relâchez le bouton d'augmentation du volume. Appuyez et relâchez le bouton de diminution du volume. Puis maintenez le bouton marche/arrêt enfoncé.
Nous espérons que ces procédures règleront votre problème. Si ce n'est pas le cas, nous ouvrirons une procédure de retour de votre smartphone. 
 
La procédure de retour...

Afin d'ouvrir une procédure de retour, merci de consulter notre article dédié."
31;Service Après-Vente;Comment emballer mon produit ?;"Emballez votre smartphone dans un carton

Intégrez votre smartphone dans un carton, pour assurer une protection optimale. Si vous n'avez pas de carton, essayez de vous rapprocher des commerçants autour de chez vous ! 
De plus, gardez vos accessoires (câble, prise murale, coque, écouteurs), ne les renvoyez pas avec le smartphone.
 
Isolez-le pour qu'il ne bouge plus

Pour éviter que votre smartphone ne bouge à l'intérieur de votre carton, l'idée est de rembourrer les espaces vides, avec du papier journal par exemple, ou du papier bulle si vous en avez à disposition ! 
 
Fermez le carton et collez le bordereau 

Pour fermer votre carton, utilisez du gros scotch type déménagement qui permettra que celui-ci ne s'ouvre pas lors du transport.
Pour finir, collez votre bordereau sur le carton, de manière à ce qu'il soit visible pour le livreur.
 
Vérifiez, postez, c'est envoyé !

Dernière vérification, secouez votre carton : si vous n'entendez pas votre smartphone remuer dans tous les sens à l'intérieur de celui-ci, c'est que votre colis est prêt à être envoyé.
Déposez-le à la Poste, et ils se chargeront du reste ! "
32;Service Après-Vente;"Pourquoi mon iPhone affiche-t-il un message d'alerte Apple ""Message important"" ou ""Pièce inconnue"" ?";"L'écran de votre iPhone affiche un message d'alerte Apple à propos de sa batterie, son écran ou bien sa caméra. Par exemple : « Pièce inconnue » dans la section « Historique des pièces et des réparations » dans les paramètres ou encore  « Impossible de vérifier si cet iPhone possède une batterie Apple d’origine. L’état de santé de la batterie n’est pas disponible. ».
 
Que signifie cette notification ?

Cette notification apparait lorsqu'une réparation a été effectuée sur un appareil et donne des informations sur le composant remplacé : batterie, écran, appareil photo. 
 
Seul un Apple Genius Bar ou un fournisseur de services agréé Apple peut remplacer un composant dans les derniers iPhone sans déclencher l’affichage de ces messages. Cela ne signifie pas que votre batterie (par exemple) est défectueuse - mais simplement qu'elle a été remplacée par une nouvelle batterie tout aussi performante que l'originale. Et il en est de même pour les autres composants.

La notification sera visible sur l'écran de verrouillage pendant quelques jours, puis sera uniquement visible dans les paramètres de votre téléphone. Concernant la batterie, vous pouvez contrôler la capacité de celle ci grâce à des applications, voici nos astuces : http://faq.certideal.com/fr/articles/2364354-questions-sur-la-batterie-de-mon-telephone).
 
Quels sont les appareils concernés ? 

Seuls les iPhone les plus récents (à partir de l'iPhone X et générations suivantes) sont concernés.
Pour iOS 15.2 et versions ultérieures, différentes informations sont affichées en fonction de votre modèle. Vous pouvez vérifier en allant dans Paramètres > Général > À propos de > HISTORIQUE DES PIÈCES ET DES RÉPARATIONS :
Pour les iPhone XR, XS, XS Max et versions ultérieures, y compris l'iPhone SE (deuxième génération), vous pouvez voir si la batterie a été remplacée.
Pour les iPhone 11, 12 et 13, vous pouvez voir si la batterie ou l'écran ont été remplacés.
Pour les iPhone 12 et 13, vous pouvez voir si la batterie, l'écran ou l'appareil photo ont été remplacés.
Pour les versions d'iOS antérieures à iOS 15.2, vous verrez un « Message important concernant la batterie », un « Message important concernant l'affichage » ou un « Message important concernant l'appareil photo ».
 
Pour résumer, cette notification n'affecte en rien les performances de votre appareil. Chez CertiDeal, chacun des appareils proposés est soumis à des tests rigoureux pour vérifier leur état et leur fonctionnalité afin de garantir des appareils de qualité - tout aussi performants que neufs ! 
Et si toutefois vous rencontrez un problème, ou vous souhaitez avoir plus d'informations, vous pouvez nous contacter par mail à hello@certideal.com :)"
33;Service Après-Vente;Mon iPhone affiche un message concernant l'origine de l'écran;"Apple affiche une notification : l'iPhone n'est pas apte à déterminer l'authenticité de son écran.
Depuis la mise à jour iOs 14.2, ce message apparaît sur tous les produits qui ont eu un écran changé hors Apple Store. 
 
Lors du reconditionnement, l'écran est parfois remplacé, cette notification peut donc apparaître. Nos écrans sont premiums et la qualité d'origine est conservée. 
 
Cela n'a pas d'impact sur la qualité du produit, au contraire, ce message montre que nous avons bien pris soin de reconditionner l'iPhone et de le contrôler avant son expédition."
34;Service Après-Vente;Que couvre la garantie Certideal ?;"La garantie Certideal est tout à fait similaire à la garantie constructeur. 
 
Toutes les pannes indépendantes de votre utilisation sont prises en charge, voici la liste des soucis pris en charge :) 
 
-Réseau 
-wifi / bluetooth 
-GPS
-son haut parleur, écouteurs internes, micro
-appareil photo (avant et arrière) / Flash
-tactile
-connecteur de charge 
-face ID
-touch ID / bouton home
-le téléphone ne s'allume plus
-vibreur 
-la batterie est garantie 3 mois (12 mois si vous avez choisis le pack premium) 
 
Pour résumer, si vous faites tomber votre téléphone dans l'eau, ou que vous le faites tomber du 3ème étage, ce n'est pas pris en garantie.
Si la panne n'est pas liée à votre utilisation directement, c'est pris en charge"
35;Service Après-Vente;Mon appareil a un problème qui peut être résolu avec une réinitialisation, comment faire ?;"Avant de lancer la procédure de retour

Nous proposons une procédure à réaliser qui pourrait régler le problème chez vous directement. 
En effet, certains dysfonctionnements peuvent apparaître sans réel problème matériel, et il peut suffire d'une réinitialisation ou d'une procédure de réglages pour arranger le problème : 
 
Pour résoudre vos soucis, voici les étapes à appliquer. 
Assurez vous que la mise à jour iTunes sur votre ordinateur a été effectuée. Attention, ceci effacera vos données, faites une copie de vos données. Veillez à ce que la dernière version d'iTunes soit bien installée. 
 
Placer votre appareil en mode de récupération et le configurer à nouveau

Etape 1: Vérifiez que votre Mac est à jour. Si vous utilisez iTunes, assurez-vous que vous disposez de la version la plus récente. 
 
Etape 2:  Sur un Mac doté de macOS Catalina, ouvrez le Finder. Sur un Mac doté de macOS Mojave ou version antérieure, ou sur un PC, ouvrez iTunes. Si l’application iTunes est déjà ouverte, fermez-la, puis ouvrez-la à nouveau. Identifiez la version de macOS installée sur votre Mac.
 
Etape 3: Laissez votre appareil connecté et attendez que l’écran du mode de récupération s’affiche :
 
Modèles d’iPad sans bouton principal : 
Appuyez brièvement sur le bouton d’augmentation du volume. 
Appuyez brièvement sur le bouton de réduction du volume. 
Maintenez le bouton du haut enfoncé jusqu’à ce votre appareil redémarre. 
Continuez à le maintenir jusqu’à ce que votre appareil passe en mode de récupération.
 
iPhone 8 ou modèle ultérieur : 
Appuyez brièvement sur le bouton d’augmentation du volume. 
Appuyez brièvement sur le bouton de réduction du volume. 
Ensuite, maintenez le bouton latéral enfoncé jusqu’à ce que l’écran du mode de récupération apparaisse.
 
iPhone 7, iPhone 7 Plus et iPod touch (7e génération) : 
Maintenez le bouton du haut (ou le bouton latéral) et le bouton de réduction du volume enfoncés simultanément. 
Continuez de les maintenir enfoncés jusqu’à ce que l’écran du mode de récupération apparaisse.
 
iPad avec bouton principal, iPhone 6s ou modèle antérieur et iPod touch (6e génération) ou modèle antérieur : 
Maintenez le bouton principal et le bouton du haut (ou le bouton latéral) enfoncés simultanément. 
Continuez de les maintenir enfoncés jusqu’à ce que l’écran du mode de récupération apparaisse.
Etape 4: Localisez votre appareil sur votre ordinateur. Dans la fenêtre vous invitant à procéder à une mise à jour ou à une restauration, sélectionnez ""Mettre à jour"". 
Votre ordinateur essaie de réinstaller le logiciel sans effacer vos données. 
Patientez le temps que votre ordinateur télécharge le logiciel de votre appareil. 
Si le téléchargement dure plus de 15 minutes et que l’écran du mode de récupération se ferme, attendez la fin du téléchargement, puis répétez l’étape 3.
Etape 5: Une fois la mise à jour ou la restauration effectuée, configurez votre appareil.
Nous espérons que cette procédure résoudra votre problème, si ce n'est pas le cas nous ouvrirons une procédure pour diagnostiquer votre appareil
 
La procédure de retour...

Afin d'ouvrir une procédure de retour, merci de consulter notre article dédié."
